alpha_name,beta_name,alpha_value,beta_value,rho,cf_terms,best_p,best_q,best_approx,delta,abs_error,n_lock,tau_scaled,pair,carrier,abs_delta,Crystal_n_start,Crystal_n_end,Crystal_count,Crystal_mean_err,Crystal_lock_scaled_pct,Crystal_lock_soft_pct,Transit_n_start,Transit_n_end,Transit_count,Transit_mean_err,Transit_lock_scaled_pct,Transit_lock_soft_pct,PostCrk_n_start,PostCrk_n_end,PostCrk_count,PostCrk_mean_err,PostCrk_lock_scaled_pct,PostCrk_lock_soft_pct
log3,catalan,1.0986122886681098,0.915965594177219,0.9285531619593292,"[0; 1, 12, 1, 278, 2, 1, 1, 1, 1]",13,14,0.9285714285714286,-1.8266612099360202e-05,1.8266612099360202e-05,54744.68908413649,0.007142857142857143,log3 / catalan,13/14,1.8266612099360202e-05,1,5474,5474,0.05000485062191224,7.142857142857142,50.0,49270.0,60219.0,10950,0.05000485062191197,7.141552511415525,49.990867579908674,65693.0,82117.0,16425,0.34999396720087245,0.0,0.0
silver,sqrt5,2.414213562373095,2.23606797749979,0.09525640002671598,"[0; 10, 2, 123, 2, 2, 15, 2, 3, 1]",2,21,0.09523809523809523,1.8304788620748802e-05,1.8304788620748802e-05,54630.51339836191,0.004761904761904762,silver / sqrt5,2/21,1.8304788620748802e-05,1,5463,5463,0.05000868251187128,4.759289767526999,49.990847519677835,49167.0,60093.0,10927,0.05000410675595819,4.758854214331473,50.00457582135993,65556.0,81945.0,16390,0.3499873131741446,0.0,0.0
catalan,log10,0.915965594177219,2.302585092994046,0.894756521217539,"[0; 1, 8, 1, 1, 140, 4, 4, 3, 4]",17,19,0.8947368421052632,1.9679112275849953e-05,1.9679112275849953e-05,50815.300303316624,0.005263157894736842,catalan / log10,17/19,1.9679112275849953e-05,1,5081,5081,0.050004624292949364,5.254871088368431,49.99015941743751,45733.0,55896.0,10164,0.05000462545581993,5.263675718221173,50.0,60978.0,76222.0,15245,0.3499871021237073,0.0,0.0
sqrt7,two_pi,2.6457513110645907,6.283185307179586,0.5293907260231044,"[0; 1, 1, 8, 164, 2, 1, 5, 1, 1]",9,17,0.5294117647058824,-2.1038682777918538e-05,2.1038682777918538e-05,47531.49284847647,0.0058823529411764705,sqrt7 / two_pi,9/17,2.1038682777918538e-05,1,4753,4753,0.05000894896309703,5.8699768567220705,49.98948032821376,42778.0,52284.0,9507,0.05000368982981949,5.890396549910592,50.00525928263385,57037.0,71297.0,14261,0.34998915781028006,0.0,0.0
pi_over_2,e,1.5707963267948966,2.718281828459045,0.4515827052894548,"[0; 2, 4, 1, 1, 1, 33, 1, 4, 2]",14,31,0.45161290322580644,-3.019793635161694e-05,3.019793635161694e-05,33114.84560919194,0.0032258064516129032,pi_over_2 / e,14/31,3.019793635161694e-05,1,3311,3311,0.05000778259829827,3.20144971307762,49.98489882210813,29803.0,36426.0,6624,0.05000778259829793,3.2155797101449273,49.98490338164252,39737.0,49672.0,9936,0.34998364563142054,0.0,0.0
sqrt11,log10,3.3166247903554,2.302585092994046,0.43753116947715487,"[0; 2, 3, 1, 1, 124, 1, 3, 5, 1]",7,16,0.4375,3.116947715486873e-05,3.116947715486873e-05,32082.66840766683,0.00625,sqrt11 / log10,7/16,3.116947715486873e-05,1,3208,3208,0.05001142609498683,6.234413965087282,50.0,28874.0,35290.0,6417,0.05000363575804162,6.249026024622097,49.992208196976776,38499.0,48124.0,9626,0.3499968097930972,0.0,0.0
phi,log10,1.618033988749895,2.302585092994046,0.5769701500240081,"[0; 1, 1, 2, 1, 2, 1, 30, 1, 2]",15,26,0.5769230769230769,4.7073100931216416e-05,4.7073100931216416e-05,21243.55481618277,0.0038461538461538464,phi / log10,15/26,4.7073100931216416e-05,1,2124,2124,0.050015169739363124,3.8135593220338984,50.0,19119.0,23367.0,4249,0.05000340484107633,3.8597317015768415,49.98823252530007,25492.0,31865.0,6374,0.34998592505442094,0.0,0.0
sqrt3,catalan,1.7320508075688772,0.915965594177219,0.7419890881293227,"[0; 1, 2, 1, 7, 19, 3, 1, 1, 7]",23,31,0.7419354838709677,5.360425835498894e-05,5.360425835498894e-05,18655.234316975308,0.0032258064516129032,sqrt3 / catalan,23/31,5.360425835498894e-05,1,1865,1865,0.050012773045211886,3.2171581769436997,49.97319034852547,16789.0,20520.0,3732,0.05001277977639398,3.215434083601286,49.973204715969985,22386.0,27982.0,5597,0.3499696424122214,0.0,0.0
sqrt7,pi,2.6457513110645907,3.141592653589793,0.8499429311271236,"[0; 1, 5, 1, 1, 1, 43, 6, 2, 1]",17,20,0.85,-5.706887287637574e-05,5.706887287637574e-05,17522.68705509971,0.005,sqrt7 / pi,17/20,5.706887287637574e-05,1,1752,1752,0.05002086707616261,4.965753424657534,50.0,15770.0,19274.0,3505,0.05000660697413269,4.9928673323823105,49.98573466476462,21027.0,26284.0,5258,0.3499927223276322,0.0,0.0
sqrt7,inv_pi,2.6457513110645907,0.3183098861837907,0.1500570688728764,"[0; 6, 1, 1, 1, 43, 6, 2, 1, 1]",3,20,0.15,5.70688728764035e-05,5.70688728764035e-05,17522.687055091184,0.005,sqrt7 / inv_pi,3/20,5.70688728764035e-05,1,1752,1752,0.050020867076162816,4.965753424657534,50.0,15770.0,19274.0,3505,0.05000660697413256,4.9928673323823105,49.98573466476462,21027.0,26284.0,5258,0.34999272232763173,0.0,0.0
