alpha_name,beta_name,alpha_value,beta_value,rho,cf_terms,best_p,best_q,best_approx,delta,abs_error,n_lock,tau_scaled,pair,carrier,abs_delta,Crystal_n_start,Crystal_n_end,Crystal_count,Crystal_mean_err,Crystal_lock_scaled_pct,Crystal_lock_soft_pct,Transit_n_start,Transit_n_end,Transit_count,Transit_mean_err,Transit_lock_scaled_pct,Transit_lock_soft_pct,PostCrk_n_start,PostCrk_n_end,PostCrk_count,PostCrk_mean_err,PostCrk_lock_scaled_pct,PostCrk_lock_soft_pct
two_pi,inv_pi,6.283185307179586,0.3183098861837907,0.39448843860172,"[0; 2, 1, 1, 6, 1, 1, 1, 11, 2]",11,28,0.39285714285714285,0.0016312957445771548,0.0016312957445771548,613.009629507253,0.0035714285714285713,two_pi / inv_pi,11/28,0.0016312957445771548,1,61,61,0.05057016808189153,3.278688524590164,49.18032786885246,551.0,674.0,124,0.05057042144599173,4.032258064516129,49.193548387096776,735.0,919.0,185,0.34908158076529977,0.0,0.0
phi,ln_phi,1.618033988749895,0.48121182505960347,0.34211043223921045,"[0; 2, 1, 11, 1, 133, 19, 155, 5, 380]",11,32,0.34375,-0.001639567760789551,0.001639567760789551,609.9168475467214,0.003125,phi / ln_phi,11/32,0.001639567760789551,1,60,60,0.05000681670408137,1.6666666666666667,50.0,548.0,670.0,123,0.05042559760150612,2.4390243902439024,49.59349593495935,731.0,914.0,184,0.3485444832494057,0.0,0.0
phi_inv,ln_phi,0.6180339887498948,0.48121182505960347,0.6578895677607896,"[0; 1, 1, 1, 11, 1, 133, 19, 155, 4]",21,32,0.65625,0.001639567760789551,0.001639567760789551,609.9168475467214,0.003125,phi_inv / ln_phi,21/32,0.001639567760789551,1,60,60,0.05000681670408141,1.6666666666666667,50.0,548.0,670.0,123,0.05042559760150565,2.4390243902439024,49.59349593495935,731.0,914.0,184,0.34854448324940596,0.0,0.0
pi_over_2,sqrt11,1.5707963267948966,3.3166247903554,0.376649231025384,"[0; 2, 1, 1, 1, 8, 1, 5, 1, 1]",3,8,0.375,0.0016492310253840015,0.0016492310253840015,606.3431894068106,0.0125,pi_over_2 / sqrt11,3/8,0.0016492310253840015,1,60,60,0.05030154627421199,11.666666666666666,50.0,545.0,666.0,122,0.050310824940068964,12.295081967213115,49.18032786885246,727.0,909.0,183,0.34907097876411325,0.0,0.0
log3,log10,1.0986122886681098,2.302585092994046,0.11276279256586821,"[0; 8, 1, 6, 1, 1, 2, 2, 2, 2]",1,9,0.1111111111111111,0.001651681454757109,0.001651681454757109,605.443620572138,0.011111111111111112,log3 / log10,1/9,0.001651681454757109,1,60,60,0.050376284370091666,10.0,50.0,544.0,665.0,122,0.05038829617127166,11.475409836065573,49.18032786885246,726.0,908.0,183,0.34942374853655306,0.0,0.0
pi_over_2,ln_phi,1.5707963267948966,0.48121182505960347,0.3826179338915262,"[0; 2, 1, 1, 1, 1, 2, 2, 1, 7]",8,21,0.38095238095238093,0.0016655529391452761,0.0016655529391452761,600.4012100108791,0.004761904761904762,pi_over_2 / ln_phi,8/21,0.0016655529391452761,1,60,60,0.050799364643930346,3.3333333333333335,50.0,540.0,660.0,121,0.050385057799871666,4.958677685950414,49.586776859504134,720.0,900.0,181,0.34909788070765685,0.0,0.0
sqrt11,e_over_pi,3.3166247903554,0.8652559794322651,0.7159636424590321,"[0; 1, 2, 1, 1, 11, 1, 1, 2, 4]",5,7,0.7142857142857143,0.0016779281733177998,0.0016779281733177998,595.9730672038725,0.014285714285714285,sqrt11 / e_over_pi,5/7,0.0016779281733177998,1,59,59,0.05033784519953447,13.559322033898304,49.152542372881356,536.0,655.0,120,0.0503378451995341,14.166666666666666,49.166666666666664,715.0,893.0,179,0.3490542513475229,0.0,0.0
sqrt11,pi_over_e,3.3166247903554,1.1557273497909217,0.2840363575409679,"[0; 3, 1, 1, 11, 1, 1, 2, 4, 5]",2,7,0.2857142857142857,-0.0016779281733177998,0.0016779281733177998,595.9730672038725,0.014285714285714285,sqrt11 / pi_over_e,2/7,0.0016779281733177998,1,59,59,0.050337845199534485,13.559322033898304,49.152542372881356,536.0,655.0,120,0.05033784519953433,14.166666666666666,49.166666666666664,715.0,893.0,179,0.349054251347524,0.0,0.0
phi_over_pi,sqrt11,0.5150362148004839,3.3166247903554,0.4465829527113053,"[0; 2, 4, 5, 1, 1, 4, 2, 2, 1]",13,29,0.4482758620689655,-0.0016929093576601995,0.0016929093576601995,590.6990799449051,0.0034482758620689655,phi_over_pi / sqrt11,13/29,0.0016929093576601995,1,59,59,0.050787280729805595,3.389830508474576,49.152542372881356,531.0,649.0,119,0.05037044205964288,3.361344537815126,49.57983193277311,708.0,886.0,179,0.34924875805517225,0.0,0.0
two_pi,pi_over_sqrt2,6.283185307179586,2.221441469079183,0.3026530976594648,"[0; 3, 3, 3, 2, 7, 1, 1, 1, 1]",7,23,0.30434782608695654,-0.001694728427491743,0.001694728427491743,590.065041559511,0.004347826086956522,two_pi / pi_over_sqrt2,7/23,0.001694728427491743,1,59,59,0.050841852824751746,3.389830508474576,49.152542372881356,531.0,649.0,119,0.05041553664790399,4.201680672268908,49.57983193277311,708.0,885.0,178,0.34985119249715746,0.0,0.0
